transaction_id,timestamp,customer_id,card_id,device_id,ip_address,merchant_id,merchant_category,merchant_country,merchant_city,merchant_latitude,merchant_longitude,transaction_type,amount,currency,is_fraud,fraud_type
TXN000000643887,2025-06-08T19:00:46+00:00,CUST0078936,CARD0078936-4,beb6c12646f4,227.57.72.93,MID002363,fashion,ES,Lake Gabrielmouth,47.747139,171.030294,purchase,31.89,USD,0,
TXN000000733387,2025-05-06T02:24:08+00:00,CUST0068809,CARD0068809-1,3e3b0de63360,157.185.135.131,MID010918,grocery,BR,South Josephview,-29.93446,-18.784536,purchase,101.75,USD,0,
TXN000000593122,2024-12-21T17:34:18+00:00,CUST0033128,CARD0076867-1,65a94e34f885,153.43.32.144,MID011659,pharmacy,ES,West Sarah,-0.760163,-138.339514,purchase,1.3,USD,1,card_testing
TXN000000219809,2025-02-26T18:31:36+00:00,CUST0008563,CARD0034401-1,5d38ada85040,102.172.47.128,MID009815,electronics,DE,Mariaport,-7.56975,-3.28145,purchase,2.08,USD,1,card_testing
TXN000000144948,2025-07-09T09:57:16+00:00,CUST0010115,CARD0010115-1,2630361ab96c,114.28.82.8,MID011403,gas_station,IN,South Sarahfort,50.534448,-133.114539,purchase,62.52,USD,0,
TXN000000835905,2025-10-26T11:59:22+00:00,CUST0023137,CARD0023137-3,f748348b76c4,114.251.141.192,MID010692,utilities,GB,Laurastad,36.11754,144.739402,purchase,67.66,USD,1,geo_anomaly
TXN000000459740,2025-01-19T12:30:13+00:00,CUST0052950,CARD0052950-2,96aceb955051,119.227.64.90,MID011535,utilities,GB,East Chase,49.13494,76.976639,purchase,4.12,USD,1,geo_anomaly
TXN000000839697,2025-10-17T13:36:29+00:00,CUST0055773,CARD0055773-1,2d2c68f81f9d,47.221.252.95,MID012966,travel,IN,Nancyberg,-32.028595,-162.913915,purchase,30.33,USD,0,
TXN000000692557,2025-06-23T11:01:01+00:00,CUST0096541,CARD0096541-4,3450d3b8bfa3,61.140.138.89,MID007642,pharmacy,IT,Port Calvinchester,6.967805,-152.241209,purchase,44.4,USD,1,geo_anomaly
TXN000000769247,2025-10-25T16:27:55+00:00,CUST0060771,CARD0060771-2,48ad45144401,55.175.84.225,MID003665,fashion,BR,North Stephanieview,-19.440928,-12.909103,purchase,50.62,USD,0,
TXN000000749881,2025-07-07T17:18:21+00:00,CUST0010033,CARD0010033-1,ee551c760453,73.28.194.145,MID012225,utilities,GB,West Steve,50.618703,13.368728,purchase,11.45,USD,1,account_takeover
TXN000000543239,2025-03-14T02:24:54+00:00,CUST0082847,CARD0030341-2,cb2d9a6948d9,226.154.119.166,MID017444,gas_station,IN,Port Stephanieberg,-14.48594,84.751545,purchase,1.19,USD,1,card_testing
TXN000000325140,2025-06-29T19:00:31+00:00,CUST0036052,CARD0036052-1,cf996d2b017d,206.116.10.78,MID009173,gas_station,US,Port Michael,54.487157,-42.573679,purchase,143.06,USD,0,
