transaction_id,timestamp,customer_id,card_id,device_id,ip_address,merchant_id,merchant_category,merchant_country,merchant_city,merchant_latitude,merchant_longitude,transaction_type,amount,currency,is_fraud,fraud_type
TXN000000313311,2025-09-08T08:10:24+00:00,CUST0035415,CARD0036702-2,1e2af13ac898,253.180.8.194,MID015601,grocery,IT,Matthewfort,8.25715,-119.407097,purchase,1.0,USD,1,card_testing
TXN000000861673,2025-09-09T20:16:48+00:00,CUST0038458,CARD0038458-3,beb485bb8e86,54.124.19.145,MID002227,fashion,DE,Romeromouth,50.216027,-120.910895,purchase,12.38,USD,1,geo_anomaly
TXN000000958729,2025-01-22T10:11:45+00:00,CUST0059561,CARD0059561-1,70c4386e9cca,254.237.12.98,MID008942,electronics,BR,Deniseshire,67.755082,173.671449,purchase,2.16,USD,1,geo_anomaly
TXN000000976011,2025-09-05T22:04:28+00:00,CUST0028077,CARD0020810-1,75f6bbe95c9a,174.146.127.159,MID002081,utilities,CA,Ruizchester,-44.567468,38.819508,purchase,2.72,USD,1,card_testing
TXN000000217491,2025-07-23T07:35:33+00:00,CUST0060104,CARD0060104-4,6b1d6aebb4dd,82.117.47.175,MID009297,restaurants,IT,Franklinmouth,-37.792797,0.083953,purchase,4.48,USD,0,
TXN000000224825,2025-03-24T16:21:45+00:00,CUST0019124,CARD0019124-2,6c342a90f88b,233.234.175.241,MID009861,fashion,ES,South Rodneymouth,-20.530937,-69.011946,purchase,181.2,USD,1,geo_anomaly
TXN000000522579,2025-05-17T21:28:02+00:00,CUST0077920,CARD0077920-2,dc6d6616675e,223.146.111.108,MID003780,entertainment,DE,Philipside,-23.731321,-25.884477,purchase,14.97,USD,0,
TXN000000494781,2025-03-06T06:57:15+00:00,CUST0087324,CARD0044268-1,6216ef91b3c9,122.216.160.254,MID005824,pharmacy,IN,North Staceychester,53.657468,-103.294504,purchase,1.79,USD,1,card_testing
TXN000000628687,2025-08-16T09:43:02+00:00,CUST0078396,CARD0085462-3,a6438c706d6b,229.180.93.51,MID007077,electronics,IN,Edwinview,60.591224,-163.537489,purchase,1.0,USD,1,card_testing
TXN000000308801,2025-01-21T19:27:30+00:00,CUST0071457,CARD0081452-4,02d8b255a254,6.38.39.47,MID019356,gas_station,DE,Lake Brendafurt,31.158089,-21.720243,purchase,2.79,USD,1,card_testing
TXN000000951801,2024-12-21T02:36:20+00:00,CUST0011038,CARD0016999-3,9a1cb6b8d72a,90.119.83.166,MID012710,travel,CA,Mendozachester,59.941917,44.339446,purchase,3.18,USD,1,card_testing
TXN000000550607,2025-04-08T21:38:09+00:00,CUST0030612,CARD0082155-4,7ecbb426c7ca,82.113.38.45,MID016700,restaurants,DE,Nguyenmouth,21.105808,-1.023349,purchase,2.73,USD,1,card_testing
